name,price,address,Type,nbeds,nbath,laundry,heating,parking,air_conditioner,furnished,animal_friendly,Area
3 beds 2 baths apartment,3000,"kelowna, bc",Apartment/Condo,3,2,in-unit laundry,central heating,parking available,ac available,Not specified,No pets,1500
2 beds 2 bathrooms room only,1200,"kelowna, bc, v1y 0j1",Room,1,1,in-unit laundry,heating available,street parking,ac available,furnished,No pets,150
2 beds 1 bath house,900,"lake country, bc, v4v 1s8",House,2,1,Not specified,Not specified,Not specified,Not specified,unfurnished,No pets,1200
6 beds 4 baths house,3850,"west kelowna, bc",House,6,4,in-unit laundry,central heating,garage parking,central ac,unfurnished,No pets,2700
2 beds 2 baths apartment,2500,"kelowna, bc, v1y 9z4",Apartment/Condo,2,2,in-unit laundry,electric heating,garage parking,ac available,unfurnished,No pets,780
private room for rent,1150,"kelowna, bc, v1v",Room,1,1,in-unit laundry,electric heating,garage parking,central ac,furnished,No pets,150
1 room in a 2 bed 1 bath apartment,600,"kelowna, bc",Apartment/Condo,2,1,Not specified,Not specified,Not specified,Not specified,Not specified,No pets,910
1 bed 2 baths apartment,1050,"kelowna, bc, v1v 3c9",Apartment/Condo,1,2,laundry available,heating available,parking available,ac available,Not specified,dog and cat friendly,910
2 beds 1 bath house,1950,"kelowna, bc",House,2,1,in-unit laundry,central heating,street parking,central ac,Not specified,cat friendly,1200
3 beds 2 5 baths townhouse,3100,"kelowna, bc",Townhouse,3,2,in-unit laundry,central heating,garage parking,central ac,Not specified,No pets,1371
1 bed 1 bath house,1300,"kelowna, bc",House,1,1,in-unit laundry,Not specified,parking available,Not specified,unfurnished,No pets,1200
1 bed 2 baths house,850,"summerland, bc",House,1,2,laundry available,central heating,parking available,central ac,unfurnished,No pets,1200
1 bed 1 bath apartment,1900,"kelowna, bc",Apartment/Condo,1,1,in-unit laundry,Not specified,street parking,ac available,Not specified,No pets,910
1 bed 1 bath house,1890,"penticton, bc, v2a 3b1",House,1,1,in-unit laundry,central heating,parking available,central ac,Not specified,No pets,1200
4 beds 2 baths house,3200,"vernon, bc, v1t 4r4",House,4,2,in-unit laundry,central heating,street parking,Not specified,unfurnished,No pets,1200
2 beds 2 baths apartment,2100,"kelowna, bc",Apartment/Condo,2,2,in-unit laundry,central heating,garage parking,central ac,unfurnished,No pets,910
2 beds 2 baths apartment,2900,"kelowna, bc, v1y 2e4",Apartment/Condo,2,2,in-unit laundry,central heating,street parking,central ac,Not specified,No pets,910
1 bed 1 bath apartment condo,1200,"peachland, bc",Apartment/Condo,1,1,Not specified,gas heating,parking available,central ac,Not specified,dog and cat friendly,910
waterfront resort,3000,"west kelowna, bc, v4t",Townhouse,4,3,Not specified,Not specified,Not specified,Not specified,unfurnished,No pets,1371
1 bed 1 bath house,945,"west kelowna, bc, v4t 1a3",House,1,1,laundry available,central heating,parking available,central ac,Not specified,No pets,1200
private room for rent,1200,"kelowna, bc, v1v 0a4",Room,1,1,in-unit laundry,central heating,garage parking,central ac,furnished,No pets,150
2 beds 1 bath house,1900,"west kelowna, bc",House,2,1,in-unit laundry,gas heating,street parking,central ac,unfurnished,dog friendly,977
private room for rent,850,"kelowna, bc, v1p 1g2",Room,1,1,laundry available,Not specified,parking available,Not specified,unfurnished,No pets,150
1 bed 1 bath house,1100,"kelowna, bc, v1y 5l9",House,1,1,in-unit laundry,Not specified,street parking,Not specified,unfurnished,dog and cat friendly,1200
2 bed den  2 baths apartment,2500,"kelowna, bc, v1v 2t7",Apartment/Condo,2,2,in-unit laundry,central heating,garage parking,ac available,unfurnished,dog and cat friendly,910
2 beds 2 baths apartment,2300,"kelowna, bc, v1x",Apartment/Condo,2,2,in-unit laundry,central heating,parking available,central ac,unfurnished,No pets,910
3 beds 1 bath house,3200,"kelowna, bc, v1p 1g5",House,3,1,Not specified,central heating,parking available,central ac,unfurnished,No pets,1200
1 bed 1 bath house,1000,"kelowna, bc, v1y 5g6",House,1,1,laundry available,central heating,parking available,central ac,unfurnished,dog and cat friendly,1200
1 bed 1 bath house,1000,"kelowna, bc",House,1,1,Not specified,Not specified,parking available,Not specified,unfurnished,No pets,1200
room for,800,"kelowna, bc",Room,1,1,Not specified,Not specified,Not specified,Not specified,unfurnished,No pets,150
private room for rent,950,"coldstream, bc",Room,1,1,Not specified,Not specified,Not specified,Not specified,unfurnished,No pets,150
1 bed 0 5 bathrooms house,850,"kelowna, bc, v1x 3s6",Room,1,0,in-unit laundry,Not specified,garage parking,Not specified,unfurnished,No pets,150
2 beds 1 bath house,2000,"kelowna, bc, v1x",House,2,1,in-unit laundry,gas heating,parking available,central ac,unfurnished,No pets,2300
1 bed 1 bath apartment,1375,"kelowna, bc, v1v",Apartment/Condo,1,1,Not specified,Not specified,Not specified,Not specified,unfurnished,No pets,910
1 bed 1 bath townhouse,1050,"kelowna, bc, v1y 7c9",Townhouse,1,1,in-unit laundry,gas heating,street parking,ac available,Not specified,No pets,1371
2 beds 2 baths apartment,2500,"kelowna, bc, v1y",Apartment/Condo,2,2,in-unit laundry,heating available,parking available,ac available,Not specified,No pets,869
2 beds 1 bath house,2100,"west kelowna, bc",House,2,1,in-unit laundry,Not specified,street parking,Not specified,unfurnished,cat friendly,1200
1 bed 1 bath house,995,"kelowna, bc",House,1,1,in-unit laundry,heating available,street parking,ac available,Not specified,No pets,1200
2 beds 1 bath apartment,1500,"penticton, bc",Apartment/Condo,2,1,laundry in building,electric heating,street parking,ac available,Not specified,No pets,910
lake view house in upper mission,3500,"kelowna, bc, v1w 5k5",House,3,2,in-unit laundry,central heating,garage parking,central ac,unfurnished,No pets,1200
2 beds 2 baths apartment,3100,"kelowna, bc",Apartment/Condo,2,2,in-unit laundry,Not specified,Not specified,Not specified,Not specified,No pets,910
1 bed 1 bath apartment,900,"kelowna, bc, v1w 5n4",Apartment/Condo,1,1,in-unit laundry,electric heating,parking available,ac available,unfurnished,No pets,910
fully furnished term rental,4000,"kelowna, bc, v1y 6r6",Townhouse,4,2,Not specified,Not specified,Not specified,Not specified,Not specified,No pets,1371
2 beds 1 bath apartment,650,"kelowna, bc, v1x 5x8",Apartment/Condo,2,1,laundry in building,heating available,Not specified,Not specified,unfurnished,No pets,910
2 beds 1 bath house,1000,"kelowna, bc",House,2,1,laundry available,heating available,parking available,central ac,Not specified,No pets,1200
2 beds 2 baths apartment,2900,"kelowna, bc",Apartment/Condo,2,2,in-unit laundry,central heating,street parking,central ac,Not specified,No pets,910
2 beds 1 bath house,1900,"lake country, bc, v4v 1c1",House,2,1,in-unit laundry,central heating,parking available,central ac,Not specified,No pets,1300
1 bed 1 bath house,1300,"kelowna, bc, v1x 2a4",House,1,1,Not specified,Not specified,parking available,Not specified,Not specified,No pets,1200
2 beds 1 bath house,2250,"kelowna, bc, v1y",House,2,1,laundry in building,electric heating,garage parking,Not specified,Not specified,dog and cat friendly,800
private room for rent,800,"kelowna, bc",Room,1,1,laundry in building,Not specified,parking available,central ac,unfurnished,No pets,150
2 beds 2 baths apartment,2800,"kelowna, bc, v1y 1g7",Apartment/Condo,2,2,in-unit laundry,central heating,garage parking,central ac,unfurnished,No pets,910
1 bed 1 bath house,1600,"west kelowna, bc",House,1,1,in-unit laundry,gas heating,street parking,central ac,Not specified,No pets,1200
2 beds 2 baths apartment,2400,"kelowna, bc",Apartment/Condo,2,2,in-unit laundry,central heating,parking available,central ac,unfurnished,dog friendly,966
2 beds 1 bath house,1950,"vernon, bc, v1t",House,2,1,in-unit laundry,Not specified,parking available,Not specified,unfurnished,No pets,1200
private room for rent,875,"kelowna, bc, v1x 3x6",Room,1,1,laundry in building,Not specified,parking available,Not specified,furnished,No pets,150
1 bed 1 bath house,735,"kelowna, bc, v1x",House,1,1,laundry available,central heating,parking available,central ac,Not specified,dog and cat friendly,1200
2 beds 1 bath apartment,2200,"peachland, bc, v0h 1x4",Apartment/Condo,2,1,in-unit laundry,central heating,street parking,Not specified,unfurnished,No pets,1200
3 beds 3 baths house,3450,"lake country, bc",House,3,3,in-unit laundry,central heating,garage parking,central ac,Not specified,dog friendly,1200
2 beds 1 bath house,2950,"kelowna, bc",House,2,1,in-unit laundry,central heating,garage parking,central ac,unfurnished,dog and cat friendly,1100
3 beds 3 baths townhouse,3400,"lake country, bc, v4v 0a8",Townhouse,3,3,Not specified,Not specified,garage parking,Not specified,unfurnished,No pets,1371
3 beds 1 5 baths house,3000,"kelowna, bc, v1x 1g3",House,3,1,Not specified,Not specified,street parking,Not specified,unfurnished,No pets,1200
3 beds 3 baths townhouse,3100,"west kelowna, bc, v4t 2k1",Townhouse,3,3,in-unit laundry,central heating,garage parking,central ac,Not specified,No pets,1371
2 beds 1 bath house,2350,"kelowna, bc",House,2,1,in-unit laundry,gas heating,street parking,central ac,unfurnished,dog and cat friendly,1175
2 beds 2 baths apartment,2000,"west kelowna, bc, v4t 3j3",Apartment/Condo,2,2,in-unit laundry,electric heating,garage parking,ac available,unfurnished,No pets,870
1 bed 1 bath apartment,1100,"kelowna, bc, v1v 3e4",Apartment/Condo,1,1,laundry in building,heating available,parking available,ac available,unfurnished,No pets,910
new 1bed 1 bath house acadia st  kelowna  bc v1v  canada walking distance to ubco  close to airpo,1700,"kelowna, bc, v1v",House,1,1,in-unit laundry,central heating,street parking,central ac,unfurnished,No pets,540
2 beds 1 bath house,1550,"west kelowna, bc",House,2,1,Not specified,Not specified,Not specified,Not specified,unfurnished,No pets,1200
3 beds 2 baths house,2400,"central okanagan, bc",House,3,2,in-unit laundry,gas heating,parking available,central ac,Not specified,No pets,1250
1 bed 1 bath apartment,1400,"kelowna, bc, v1x 7p6",Apartment/Condo,1,1,Not specified,Not specified,street parking,Not specified,unfurnished,No pets,910
veda suite sunset ridge  rental from may 1st to august 28th,1150,"kelowna, bc, v1v 3e4",Apartment/Condo,1,1,Not specified,Not specified,Not specified,Not specified,unfurnished,No pets,910
room for rent,900,"kelowna, bc, v1y 5j1",Room,1,1,Not specified,gas heating,street parking,ac available,unfurnished,No pets,150
3 beds 1 bath house,2250,"kelowna, bc, v1w 1j4",House,3,1,in-unit laundry,central heating,street parking,central ac,unfurnished,dog and cat friendly,1050
2 beds 1 bath house,2400,"kelowna, bc",House,2,1,in-unit laundry,electric heating,street parking,Not specified,Not specified,No pets,1300
3 beds 3 baths townhouse,3200,"kelowna, bc",Townhouse,3,3,in-unit laundry,central heating,garage parking,central ac,unfurnished,dog and cat friendly,1371
private room for rent,850,"lake country, bc",Room,1,1,laundry available,gas heating,parking available,central ac,unfurnished,No pets,150
furnished 2 bedroom  1 bathroom basement suite,1900,"kelowna, bc, v1w 3b4",Apartment/Condo,2,1,in-unit laundry,Not specified,street parking,central ac,unfurnished,No pets,1400
4 beds 2 baths apartment,3500,"kelowna, bc",Apartment/Condo,4,2,in-unit laundry,central heating,parking available,central ac,Not specified,No pets,1500
1 bedroom in shared townhouse,950,"kelowna, bc",Townhouse,1,1,in-unit laundry,Not specified,street parking,Not specified,unfurnished,cat friendly,1371
1 bed 1 bath house,700,"kelowna, bc",House,1,1,laundry available,Not specified,Not specified,Not specified,unfurnished,No pets,1200
basment,1800,"kelowna, bc",House,2,1,Not specified,central heating,street parking,central ac,unfurnished,No pets,1200
2 beds 1 bath house,650,"kelowna, bc, v1x 5y7",House,2,1,laundry in building,Not specified,street parking,Not specified,unfurnished,No pets,1200
4 beds 2 baths house,4500,"west kelowna, bc",House,4,2,in-unit laundry,gas heating,parking available,Not specified,Not specified,No pets,1200
3 beds 2 5 baths townhouse,3300,"kelowna, bc, v1y 5j3",Townhouse,3,2,in-unit laundry,gas heating,garage parking,central ac,unfurnished,dog and cat friendly,1450
roommate wanted,1200,"lake country, bc, v4v 1t9",House,3,2,Not specified,Not specified,Not specified,Not specified,unfurnished,No pets,1200
u8 academy hill sublet,1900,"kelowna, bc, v1v",Apartment/Condo,2,2,in-unit laundry,Not specified,garage parking,Not specified,unfurnished,No pets,910
2 beds 1 bath house,2000,"okanagan-similkameen, bc",House,2,1,laundry in building,heating available,parking available,ac available,Not specified,No pets,1000
2 beds 1 bath house,1600,"north okanagan, bc",House,2,1,Not specified,Not specified,Not specified,Not specified,unfurnished,No pets,1200
4 beds 4 5 baths townhouse,6360,"kelowna, bc",Townhouse,4,4,Not specified,Not specified,Not specified,Not specified,Not specified,No pets,2016
2 beds 2 baths house,2100,"west kelowna, bc, v4t 1v1",House,2,2,in-unit laundry,gas heating,street parking,ac available,unfurnished,No pets,1200
room downtown,775,"kelowna, bc",Room,1,1,Not specified,Not specified,Not specified,Not specified,Not specified,No pets,150
2 beds 1 bath house,2000,"lake country, bc, v4v 1g6",House,2,1,Not specified,central heating,Not specified,central ac,unfurnished,No pets,900
brand new beautiful lakeview downtown condo,2500,"kelowna, bc, v1y 2e4",Apartment/Condo,2,1,in-unit laundry,central heating,garage parking,central ac,unfurnished,dog and cat friendly,680
2 beds 1 bath house,1850,"kelowna, bc",House,2,1,in-unit laundry,electric heating,street parking,Not specified,unfurnished,No pets,1000
3 beds 2 baths house,3400,"lake country, bc",House,3,2,in-unit laundry,central heating,garage parking,central ac,Not specified,No pets,1427
2 habitaciones 2 baños departamento,700,"kelowna, bc, v1w 3w1",Apartment/Condo,2,2,in-unit laundry,central heating,street parking,central ac,unfurnished,No pets,1400
2 beds 2 5 baths townhouse,3200,"kelowna, bc, v1y 5e6",Townhouse,2,2,in-unit laundry,central heating,garage parking,central ac,Not specified,No pets,1001
2 beds 1 bath house,2900,"penticton, bc",House,2,1,laundry available,central heating,street parking,ac available,unfurnished,No pets,1200
basement for rent,2000,"kelowna, bc, v1x 7b9",House,2,1,Not specified,Not specified,Not specified,Not specified,unfurnished,No pets,1200
east hill basement suite,2000,"vernon, bc",House,2,1,laundry available,gas heating,parking available,central ac,unfurnished,dog and cat friendly,1200
3 beds 2 baths house,2850,"kelowna, bc",House,3,2,in-unit laundry,gas heating,street parking,central ac,unfurnished,No pets,1000
2 beds 2 baths apartment,2000,"west kelowna, bc, v4t 2z7",Apartment/Condo,2,2,in-unit laundry,electric heating,garage parking,ac available,unfurnished,dog and cat friendly,1190
1 bed 1 bath house,1700,"kelowna, bc",House,1,1,in-unit laundry,central heating,parking available,central ac,unfurnished,No pets,1200
1 bed 1 bath house,950,"west kelowna, bc, v4t 1m4",House,1,1,Not specified,heating available,Not specified,ac available,unfurnished,No pets,1200
3 beds 2 baths house,3200,"lake country, bc, v4v 1g6",House,3,2,in-unit laundry,central heating,garage parking,central ac,unfurnished,No pets,1200
1 bed 1 bath house,1100,"kelowna, bc, v1y 5c8",House,1,1,in-unit laundry,Not specified,parking available,Not specified,Not specified,dog and cat friendly,1200
2 beds 1 bath apartment,860,"kelowna, bc, v1y 5c6",Apartment/Condo,2,1,in-unit laundry,central heating,street parking,central ac,unfurnished,No pets,910
1 bed 1 bath house,1750,"kelowna, bc",House,1,1,in-unit laundry,gas heating,street parking,central ac,unfurnished,No pets,1200
1 bed 2 baths apartment,1950,"vernon, bc, v1h 2j6",Apartment/Condo,1,2,Not specified,central heating,garage parking,central ac,unfurnished,No pets,910
2 beds 2 baths townhouse,2500,"kelowna, bc",Townhouse,2,2,in-unit laundry,central heating,garage parking,central ac,Not specified,No pets,1250
3 beds 2 baths house,3000,"west kelowna, bc",House,3,2,in-unit laundry,gas heating,street parking,ac available,Not specified,dog and cat friendly,1400
3 beds 1 bath house,2800,"kelowna, bc",House,3,1,Not specified,central heating,parking available,central ac,unfurnished,dog and cat friendly,1500
2 beds 2 baths house,2150,"west kelowna, bc",House,2,2,in-unit laundry,heating available,parking available,ac available,unfurnished,dog and cat friendly,900
2 beds 1 bath townhouse,1500,"okanagan-similkameen, bc",Townhouse,2,1,in-unit laundry,Not specified,street parking,Not specified,unfurnished,No pets,1371
3 beds 2 baths townhouse,1000,"penticton, bc, v2a 4r2",Townhouse,3,2,laundry available,electric heating,street parking,central ac,Not specified,No pets,1371
1 bed 1 bath apartment,1800,"west kelowna, bc, v4t 3j3",Apartment/Condo,1,1,in-unit laundry,electric heating,garage parking,ac available,unfurnished,No pets,910
1 bed 1 bath house,950,"penticton, bc",House,1,1,laundry available,Not specified,street parking,Not specified,unfurnished,No pets,1200
4 beds 2 baths house,3600,"coldstream, bc, v1b 1c9",House,4,2,in-unit laundry,central heating,Not specified,Not specified,unfurnished,No pets,1200
2 beds 2 baths house,2000,"peachland, bc",House,2,2,laundry available,Not specified,parking available,Not specified,unfurnished,cat friendly,1300
2 beds 1 bath house,2600,"kelowna, bc, v1y",House,2,1,in-unit laundry,electric heating,street parking,ac available,unfurnished,No pets,1000
1 室1 卫 租赁式公寓,1080,"kelowna, bc, v1v 3e4",Apartment/Condo,1,1,Not specified,Not specified,Not specified,Not specified,unfurnished,No pets,910
2 beds 1 bath flat,2400,"penticton, bc",Apartment/Condo,2,1,in-unit laundry,electric heating,street parking,central ac,unfurnished,dog friendly,1000
private room for rent,900,"central okanagan, bc, v1x",Room,1,1,laundry in building,central heating,parking available,central ac,unfurnished,No pets,150
2 beds 1 bath house,2200,"kelowna, bc, v1v",House,2,1,in-unit laundry,central heating,parking available,central ac,unfurnished,No pets,1000
3 beds 2 baths house,2100,"central okanagan, bc",House,3,2,in-unit laundry,central heating,garage parking,central ac,Not specified,dog friendly,1200
4 beds 3 baths house,4200,"kelowna, bc",House,4,3,in-unit laundry,heating available,parking available,ac available,Not specified,No pets,1200
3 beds 3 baths house,3975,"kelowna, bc",House,3,3,laundry available,gas heating,garage parking,central ac,Not specified,No pets,1200
1 bed 1 bath house,1650,"kelowna, bc, v1x",House,1,1,in-unit laundry,gas heating,street parking,Not specified,Not specified,No pets,750
3 beds 2 baths house,2800,"west kelowna, bc, v1z 3m6",House,3,2,Not specified,Not specified,Not specified,Not specified,unfurnished,No pets,1200
klo furnished 2 bed  1 bath basement suite,2000,"kelowna, bc",House,2,1,in-unit laundry,central heating,parking available,central ac,unfurnished,No pets,900
2 beds 2 baths apartment,2100,"lake country, bc, v4v 2n8",Apartment/Condo,2,2,in-unit laundry,central heating,garage parking,central ac,unfurnished,No pets,900
2 beds 1 bath house,2000,"kelowna, bc, v1p 1v2",House,2,1,in-unit laundry,electric heating,street parking,Not specified,unfurnished,dog and cat friendly,1200
1 bed 1 bath apartment,1500,"west kelowna, bc",Apartment/Condo,1,1,laundry in building,Not specified,street parking,Not specified,unfurnished,No pets,910
3 beds 1 bath house,2600,"vernon, bc",House,3,1,in-unit laundry,gas heating,street parking,Not specified,Not specified,No pets,1200
1 bed 1 bath apartment,1700,"vernon, bc",Apartment/Condo,1,1,in-unit laundry,electric heating,street parking,Not specified,Not specified,No pets,600
4 beds 2 baths house,750,"west kelowna, bc, v1z 3z1",House,4,2,Not specified,Not specified,Not specified,Not specified,Not specified,No pets,1200
2 beds 1 bath house,1800,"penticton, bc, v2a 7v8",House,2,1,laundry available,central heating,street parking,central ac,unfurnished,No pets,1200
1 bedroom 1 den basement suit,2000,"west kelowna, bc, v1z 3x9",House,2,1,laundry available,central heating,street parking,central ac,unfurnished,dog and cat friendly,1100
1 bed 1 bath house,850,"west kelowna, bc, v4t 3k1",House,1,1,laundry in building,Not specified,Not specified,central ac,unfurnished,No pets,1200
beautiful 5 bdrm chalet at big white available from may nov,3000,"kootenay boundary, bc, v0h",House,5,3,in-unit laundry,Not specified,parking available,Not specified,unfurnished,dog and cat friendly,2400
1 bed 1 bath house,1800,"lake country, bc",House,1,1,in-unit laundry,gas heating,street parking,ac available,Not specified,No pets,1000
2 beds 2 baths apartment,12500,"west kelowna, bc, v1z 1k5",Apartment/Condo,2,2,in-unit laundry,central heating,garage parking,central ac,Not specified,dog friendly,2000
west kelowna rental in four plex,2500,"west kelowna, bc, v4t 1r2",House,3,1,in-unit laundry,electric heating,street parking,ac available,unfurnished,No pets,1200
3 beds 2 baths house,2000,"central okanagan, bc, v1z",House,3,2,Not specified,Not specified,Not specified,Not specified,Not specified,No pets,1200
2 beds 2 baths townhouse,2200,"kelowna, bc",Townhouse,2,2,in-unit laundry,Not specified,parking available,Not specified,unfurnished,No pets,1371
2 beds 2 baths apartment,2400,"kelowna, bc, v1w 5e9",Apartment/Condo,2,2,in-unit laundry,electric heating,garage parking,ac available,unfurnished,No pets,910
office space available downtown kelowna,800,"kelowna, bc",Apartment/Condo,1,1,Not specified,Not specified,Not specified,Not specified,unfurnished,No pets,430
1 bed 1 bath house,900,"kelowna, bc, v1v 1b4",House,1,1,laundry available,central heating,street parking,Not specified,Not specified,No pets,1200
room for rent,975,"kelowna, bc, v1v",Room,1,1,Not specified,Not specified,Not specified,Not specified,Not specified,No pets,150
private room for rent,1200,"kelowna, bc, v1v 0a8",Room,1,1,laundry in building,heating available,street parking,ac available,unfurnished,No pets,150
studio 2 baths apartment,2350,"kelowna, bc, v1y 0b5",Apartment/Condo,1,2,Not specified,central heating,garage parking,central ac,Not specified,No pets,150
private room for rent,1200,"west kelowna, bc",Room,1,1,laundry available,gas heating,parking available,central ac,furnished,No pets,150
1 bed 1 bath house,690,"penticton, bc, v2a 4y7",House,1,1,in-unit laundry,gas heating,street parking,central ac,Not specified,No pets,1200
2 beds 1 bath townhouse,1600,"kelowna, bc",Townhouse,2,1,Not specified,Not specified,Not specified,Not specified,unfurnished,cat friendly,1371
4 beds 3 baths house,850,"kelowna, bc",House,4,3,in-unit laundry,gas heating,parking available,central ac,unfurnished,No pets,2700
2 beds 2 baths apartment,1900,"kelowna, bc",Apartment/Condo,2,2,in-unit laundry,electric heating,garage parking,ac available,unfurnished,No pets,910
2 beds 2 baths apartment,3000,"kelowna, bc, v1y 4b7",Apartment/Condo,2,2,in-unit laundry,electric heating,garage parking,ac available,unfurnished,dog and cat friendly,950
1 bed 1 bath flat,1950,"kelowna, bc",Apartment/Condo,1,1,in-unit laundry,radiator heating,garage parking,central ac,unfurnished,No pets,728
4 beds 4 baths house,1000,"kelowna, bc, v1x 6c2",House,4,4,in-unit laundry,central heating,parking available,central ac,Not specified,No pets,1200
1 bed 1 bath house,1950,"kelowna, bc",House,1,1,in-unit laundry,Not specified,street parking,Not specified,unfurnished,No pets,1200
1 bed 1 bath,450,"kelowna, bc",Room,1,1,Not specified,Not specified,parking available,Not specified,unfurnished,No pets,150
1 bed 1 bath room only,850,"west kelowna, bc",Room,1,1,laundry available,Not specified,street parking,central ac,unfurnished,dog and cat friendly,150
2 beds 1 bath house,2000,"west kelowna, bc",House,2,1,laundry available,central heating,street parking,central ac,Not specified,dog friendly,1000
1 bed 1 bath apartment,1190,"kelowna, bc, v1v",Apartment/Condo,1,1,in-unit laundry,central heating,parking available,central ac,Not specified,No pets,910
1 bed 1 bath house,850,"kelowna, bc",House,1,1,in-unit laundry,electric heating,street parking,central ac,Not specified,No pets,1200
1 bed 1 bath house,1200,"vernon, bc",House,1,1,laundry in building,central heating,street parking,central ac,Not specified,No pets,1200
3 beds 2 baths apartment,2500,"kelowna, bc, v1w 3g7",Apartment/Condo,3,2,in-unit laundry,central heating,garage parking,central ac,unfurnished,No pets,970
private room for rent,1000,"kelowna, bc",Room,1,1,Not specified,Not specified,Not specified,Not specified,unfurnished,No pets,150
3 beds 1 bath house,2800,"kelowna, bc, v1y",House,3,1,in-unit laundry,central heating,Not specified,central ac,unfurnished,dog and cat friendly,1600
2 beds 1 bath apartment,1700,"penticton, bc, v2a 2n5",Apartment/Condo,2,1,laundry in building,Not specified,street parking,Not specified,unfurnished,dog and cat friendly,910
3 beds 2 baths townhouse,2850,"vernon, bc, v1h 1l4",Townhouse,3,2,in-unit laundry,electric heating,street parking,ac available,unfurnished,No pets,1200
1 bed 1 bathroom townhouse,600,"penticton, bc, v2a 3y4",Townhouse,1,1,in-unit laundry,Not specified,street parking,Not specified,unfurnished,No pets,1371
1 bed 1 bath apartment,1700,"kelowna, bc, v1v 1y4",Apartment/Condo,1,1,in-unit laundry,Not specified,parking available,ac available,unfurnished,dog and cat friendly,910
2 beds 2 baths apartment,1900,"kelowna, bc, v1v 0e3",Apartment/Condo,2,2,Not specified,Not specified,Not specified,Not specified,unfurnished,No pets,910
private room for rent,1000,"kelowna, bc",Room,1,1,laundry available,central heating,parking available,central ac,furnished,No pets,150
private room for rent,1150,"kelowna, bc",Room,1,1,in-unit laundry,electric heating,street parking,Not specified,furnished,No pets,150
1 bed 1 bath apartment,1800,"west kelowna, bc, v4t",Apartment/Condo,1,1,Not specified,Not specified,Not specified,Not specified,Not specified,dog and cat friendly,910
3 bed 2 5 bath house mission,3400,"kelowna, bc, v1y 4z9",House,3,2,in-unit laundry,central heating,garage parking,central ac,unfurnished,dog and cat friendly,1200
5室3卫 独立宅院,5000,"kelowna, bc, v1w 5m4",House,5,3,laundry available,Not specified,garage parking,Not specified,unfurnished,No pets,4000
3 beds 2 5 baths house,1234,"central okanagan, bc, v0h",House,3,2,in-unit laundry,Not specified,parking available,Not specified,Not specified,No pets,1200
2 beds 1 bath apartment,1750,"kelowna, bc",Apartment/Condo,2,1,laundry in building,electric heating,street parking,ac available,Not specified,No pets,910
3 beds 2 baths house,2795,"west kelowna, bc, v4t 2t3",House,3,2,in-unit laundry,heating available,parking available,ac available,Not specified,dog and cat friendly,1431
2 beds 1 bath house,2500,"summerland, bc",House,2,1,Not specified,Not specified,Not specified,Not specified,unfurnished,No pets,1500
2 beds 2 baths apartment,2180,"kelowna, bc",Apartment/Condo,2,2,in-unit laundry,central heating,garage parking,central ac,unfurnished,No pets,940
1 bed 1 bath house,800,"kelowna, bc, v1x",House,1,1,Not specified,central heating,parking available,central ac,unfurnished,dog and cat friendly,1200
2 beds 2 baths apartment,2500,"west kelowna, bc, v4t 3n1",Apartment/Condo,2,2,in-unit laundry,Not specified,street parking,Not specified,unfurnished,dog and cat friendly,960
student 1 bdrm furnished rental,925,"penticton, bc",House,1,1,laundry available,central heating,street parking,ac available,furnished,No pets,1200
4 beds 2 baths house,4200,"kelowna, bc",House,4,2,in-unit laundry,Not specified,parking available,central ac,unfurnished,No pets,1200
ground floor 2 bedroom lakefront condo,2000,"lake country, bc, v4v 1y1",Apartment/Condo,2,1,laundry in building,Not specified,parking available,ac available,unfurnished,No pets,910
2 beds 2 baths apartment,2200,"kelowna, bc",Apartment/Condo,2,2,in-unit laundry,central heating,garage parking,central ac,Not specified,dog and cat friendly,1100
3 beds 3 baths house,3400,"kelowna, bc, v1x 7e9",House,3,3,in-unit laundry,gas heating,garage parking,central ac,unfurnished,No pets,1200
3 beds 2 5 baths house,2950,"kelowna, bc, v1x 1a3",House,3,2,Not specified,Not specified,Not specified,Not specified,Not specified,No pets,1200
5室3卫的独立宅院,1040,"kelowna, bc, v1v",House,5,3,Not specified,Not specified,Not specified,Not specified,Not specified,No pets,1200
1 bed 1 bath house,1950,"kelowna, bc",House,1,1,in-unit laundry,gas heating,street parking,ac available,unfurnished,dog and cat friendly,906
2 beds 2 baths apartment,2300,"kelowna, bc, v1x 4p5",Apartment/Condo,2,2,in-unit laundry,central heating,garage parking,central ac,unfurnished,No pets,910
6 beds 4 baths house,5000,"kelowna, bc, v1w 4t6",House,6,4,laundry in building,Not specified,garage parking,central ac,unfurnished,No pets,2800
3 beds 1 bath house,2750,"kelowna, bc, v1y 7s7",House,3,1,in-unit laundry,Not specified,Not specified,Not specified,Not specified,No pets,1200
1 bed 1 bath apartment,1700,"west kelowna, bc, v4t",Apartment/Condo,1,1,in-unit laundry,Not specified,parking available,ac available,unfurnished,No pets,585
1 bed 1 bath house,950,"kelowna, bc, v1y 6x3",House,1,1,laundry in building,Not specified,street parking,Not specified,Not specified,No pets,1200
2 beds 3 baths apartment,3000,"kelowna, bc",Apartment/Condo,2,3,in-unit laundry,Not specified,Not specified,ac available,unfurnished,dog friendly,910
1 bedroom for rent  monthly contract,800,"penticton, bc, v2a 1p1",Room,1,1,laundry in building,central heating,street parking,central ac,unfurnished,No pets,150
